Date,OperatingIncome,GrossProfit,SellingAndMarketingExpense,OperatingRevenue,TotalRevenue,SellingGeneralAndAdministration,TotalExpenses,EBIT,NetIncome,AccountsPayable,CashAndCashEquivalents,RetainedEarnings,Properties,Inventory,ShareIssued,AccountsReceivable,LongTermDebt,OrdinarySharesNumber,CommonStock,TotalCapitalization,Exchange,Buy_Close,Sale_Close,Year,COMPANY
1986-12-31,93600000.0,361400000.0,NA,814400000.0,814400000.0,254700000.0,720800000.0,93600000.0,41100000.0,-1.0,146800000.0,186000000.0,-1.0,NA,199394000,-1.0,21000000.0,199394000,-1.0,263900000.0,NYSE,-1,0,1986,IPG
1987-12-31,82200000.0,423400000.0,NA,943200000.0,943200000.0,320200000.0,861000000.0,82200000.0,49300000.0,-1.0,180800000.0,221000000.0,-1.0,NA,198692000,-1.0,21300000.0,198692000,-1.0,301300000.0,NYSE,-1,0,1987,IPG
1988-12-31,138500000.0,560600000.0,NA,1191900000.0,1191900000.0,397200000.0,1053400000.0,138500000.0,60100000.0,-1.0,180000000.0,267100000.0,-1.0,NA,209464000,-1.0,42600000.0,209464000,-1.0,375500000.0,NYSE,-1,0,1988,IPG
1989-12-31,152700000.0,606100000.0,NA,1256900000.0,1256900000.0,412900000.0,1104200000.0,152700000.0,70600000.0,980600000.0,89100000.0,315800000.0,-1.0,NA,207308000,-1.0,36500000.0,207308000,-1.0,404100000.0,NYSE,-1,0,1989,IPG
1990-12-31,168400000.0,654000000.0,NA,1368200000.0,1368200000.0,436800000.0,1199800000.0,168400000.0,80100000.0,1420900000.0,179400000.0,371500000.0,-1.0,NA,220320000,-1.0,144500000.0,220320000,-1.0,654200000.0,NYSE,-1,0,1990,IPG
1991-12-31,218800000.0,861000000.0,NA,1677500000.0,1677500000.0,578500000.0,1458700000.0,218800000.0,94600000.0,1456000000.0,239700000.0,437700000.0,-1.0,NA,226168000,-1.0,170500000.0,226168000,-1.0,757300000.0,NYSE,-1,0,1991,IPG
1992-12-31,188800000.0,850900000.0,NA,1804400000.0,1804400000.0,622500000.0,1615600000.0,188800000.0,87300000.0,1331100000.0,255800000.0,481400000.0,-1.0,NA,225074000,-1.0,200200000.0,225074000,-1.0,711400000.0,NYSE,-1,0,1992,IPG
1993-12-31,258200000.0,946700000.0,NA,1793900000.0,1793900000.0,618500000.0,1535700000.0,258200000.0,124800000.0,1428400000.0,292300000.0,570300000.0,-1.0,NA,224440000,-1.0,118100000.0,224440000,-1.0,682100000.0,NYSE,-1,0,1993,IPG
1994-12-31,233700000.0,1019300000.0,NA,1984300000.0,1984300000.0,710000000.0,1750600000.0,233700000.0,93400000.0,2090400000.0,413700000.0,619600000.0,-1.0,NA,232998000,-1.0,131300000.0,232998000,-1.0,780700000.0,NYSE,-1,0,1994,IPG
1995-12-31,292100000.0,1120900000.0,NA,2179700000.0,2179700000.0,737600000.0,1887600000.0,292100000.0,129800000.0,2291200000.0,418400000.0,704900000.0,-1.0,NA,238883382,-1.0,283500000.0,238883382,-1.0,1033200000.0,NYSE,-1,0,1995,IPG
